Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-01-03,1,12:00,1349.99,1649.99,1309.4903,1699.4897,34.16,23.0,-11.159999999999997,46115.65839999999,-18966.305051999996,27149.353347999997,3900.4166520000035,169.58333269565233
2024-01-03,1,13:00,1449.99,1949.99,1406.4903,2008.4897,38.67,47.0,8.329999999999998,56071.113300000005,11716.064198999997,67787.177499,362.3525010000012,7.7096276808510895
2024-01-03,1,14:00,2146.78,2394.0,2082.3766,2465.82,42.76,45.0,2.240000000000002,91796.3128,4664.523584000004,96460.83638400001,144.26361599999655,3.2058581333332565
2024-01-03,1,15:00,2288.01,2394.0,2219.3697,2465.82,45.33,50.0,4.670000000000002,103715.4933,10364.456499000005,114079.94979900001,320.5502010000055,6.411004020000109
2024-01-03,1,16:00,2380.0,1912.0,1854.6399999999999,2451.4,46.74,50.0,3.259999999999998,111241.20000000001,6046.126399999996,117287.3264,1712.6735999999946,34.253471999999896
2024-01-03,1,17:00,2600.0,2600.0,2522.0,2678.0,47.95,50.0,2.049999999999997,124670.00000000001,5170.099999999993,129840.1,159.89999999999418,3.1979999999998836
2024-01-03,1,18:00,2594.0,2689.0,2516.18,2769.67,49.07,50.0,0.9299999999999997,127287.58,2340.047399999999,129627.6274,72.37260000000242,1.4474520000000484
2024-01-03,1,19:00,2299.98,2689.0,2230.9806,2769.67,49.6,50.0,0.3999999999999986,114079.008,892.3922399999968,114971.40024,27.59975999999733,0.5519951999999466
2024-01-03,1,20:00,1968.0,2650.0,1908.96,2729.5,49.6,50.0,0.3999999999999986,97612.8,763.5839999999973,98376.384,23.61599999999453,0.47231999999989055
2024-01-03,1,21:00,2288.01,2644.0,2219.3697,2723.32,49.6,50.0,0.3999999999999986,113485.29600000002,887.7478799999969,114373.04388000001,27.456120000002556,0.5491224000000511
2024-01-03,1,22:00,2185.01,1551.0,1504.47,2250.5603,49.6,50.0,0.3999999999999986,108376.49600000001,601.7879999999979,108978.28400000001,272.21600000000035,5.444320000000007
2024-01-03,1,23:00,1998.0,700.0,679.0,2057.94,49.6,50.0,0.3999999999999986,99100.8,271.59999999999906,99372.40000000001,527.5999999999913,10.551999999999826
2024-01-04,1,00:00,2199.99,1078.0,1045.66,2265.9896999999996,49.6,50.0,0.3999999999999986,109119.50399999999,418.26399999999853,109537.76799999998,461.7320000000036,9.234640000000072
2024-01-04,1,01:00,1608.48,1608.48,1560.2256,1656.7344,49.6,50.0,0.3999999999999986,79780.60800000001,624.0902399999977,80404.69824,19.301760000002105,0.3860352000000421
2024-01-04,1,02:00,1248.99,1248.99,1211.5203,1286.4597,49.6,50.0,0.3999999999999986,61949.904,484.6081199999982,62434.51212,14.987880000000587,0.2997576000000117
2024-01-04,1,03:00,1184.35,1184.35,1148.8194999999998,1219.8805,49.6,50.0,0.3999999999999986,58743.759999999995,459.5277999999983,59203.28779999999,14.212200000001758,0.28424400000003514
